,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,71.5,143.4,1.921,33,297.2,6,545.0,Garmin Forerunner 265,5602.4,2931,Brooks Ghost 15 Brooks Ghost,866.9,5,_kumFjzrcOVeATmANk@@Ko@UuAEu@IE@CDB\ErAWjB[pB?d@ONG@IEGQ@SLUJg@j@{DBuAEe@?MFILA\Lj@DB?BGDqDHeCBMPQFOB_@?}BHu@AMJu@^mAl@_CPiATiCDOFQHEdAD`CRFD@NOjF@jCO`FNBzFVRBD?BSPYDSDu@HU@OMMKAIBMA}Aa@KGKWICSDCVFN^LrBb@HFBHKzB?BDDTAb@@dBLl@@NDFH@HCLEFMFGAYUkAG]EK@SCkAE_@Es@Cu@GS?]EkAEEHAbBGt@BJLDd@@NBh@@vCPbBFnCLp@Hj@LpAf@ZNTFp@VVGF@LP@RKLM?e@Qa@KcCcAw@SyEUG`CBXDLFHPJjBJNPTL@FQvAI~@I`@[f@o@t@aAx@}@~@SNCFRNHEjAoAHBZl@xAdBHBLEFM@MCIEEc@MQIc@k@]m@CK@C\a@^[Ze@FApAfA^v@HDJ?FIBOCQeCoBP}@@URoBHCVFrAh@^XJDF?DCFKE]CCKCe@Cc@S}Ai@}BO]L[BGAS_@Ic@DwCwBIiAK{AEe@OCMJcC?q@ACy@Aw@KQ?CDCnACb@GfDG`AKj@[lAGFQHKLQhAe@lBKFICKICBDDC??@?A,172,2.926,508,2917,Lunch Run,,Run,2023-06-29 11:57:20,45,Run,311
1,4,72.3,147.5,2.051,32,308.4,6,488.0,Garmin Forerunner 265,5034.3,2454,Brooks Ghost 15 Brooks Ghost,756.9,5,akumFvzrcOLe@F_@H[Nw@Ts@?IUKm@M_@?w@Ie@?AD@b@ErAq@`ECX?^KNKBGCIIC[P]Lk@h@cDFgBEW@WHKDA\Jh@FF?BELcHDa@NQFOBe@AmBFkAVoARg@^}AR_AL_BN{@LgADEFAvABbBRN?DLMxG@rAOlF@FpDNfBLHABK@aADw@OEQCuBg@KGGUBOHIN?HFFPHFVBpA^TCLFDTIXItB@FLBp@@nAHr@AHDDVERKFE?ICMOIEW?iAEq@Gq@CaAKo@AyAKc@Ai@ECF?zAEdABJDBlABDBPXHBZ@PDb@?tBJBJG~B@RP\RFTDb@Af@FVA|@PdBp@d@DJDFJDPIPCBK@GAa@[eAa@_@QIAEFGd@M`BOn@@FDFlAx@j@h@FRANGJKFE?MGKMUk@e@a@_@c@ICaAhA[XCJ@JhAnAv@XBZGPOFICQOy@aAU_@Q_@KKmAvAMHIAGI@SlBgBjAkAd@q@JWBUXsCY@yBKOEOMOOM]Ao@HmBCK_BG[EW@m@Ie@?q@GO@GAQSJwD?Iu@Ga@?s@GKDIH?FGrA?^GlB?bAGh@WnAILEZSp@Kr@Ob@Kz@Mf@E@GCAGDIGA,184,3.86,591,2454,Morning Run,3,Run,2023-06-30 10:19:18,49,Run,338
2,1,71.7,142.0,1.977,33,297.9,5,346.0,Garmin Forerunner 265,3605.4,1824,Brooks Ghost 15 Brooks Ghost,543.3,3,gkumFpzrcOD?BAFk@HWD[Rs@P}@e@SyAEk@IU?A@@h@ElAk@bECNKRADDPAHGFI@MKEM@IPc@^oCP_A@QAWZi@?c@JAzBLPSHCNBZNDELu@Lc@Hu@JkDDi@Aq@FeDEa@DMHEL@FDDD@HKd@Ap@Ej@BFpAHj@?DBBF?lAIf@?VCZ?HDFJH\FxADhCPh@@FBDD?LE`CHf@NVNLHB`CNJ?F@@NEh@G`@?d@If@KJM\]`@cA|@i@j@SLWZEL@DHFJ?FMj@o@FEF@`@x@PR\Zd@l@LBFEHSESu@YUSUWYi@EK?MRUn@g@Za@HAnAdAVl@HLPDHI@QEW_@Uc@_@s@i@MOJUFWVsC@CF@r@Vv@Zf@^L?DEDI?UGMu@G}Am@e@MYEqBEUIOMGMI[B_BDe@GUMQw@?}F]MQEU@{@HkACKCBi@AyAIA?@TAr@GvBE`@@dAOjAa@jBc@\m@rCERIJ,163,2.864,431,1824,Afternoon Run,,Run,2023-07-02 13:18:52,30,Run,310
3,,71.1,139.5,1.988,28,300.0,6,540.0,Garmin Forerunner 265,5508.2,2771,Brooks Ghost 15 Brooks Ghost,831.4,17,yjumF`zrcORaAPm@Fe@JY?Km@UkAGa@Ge@CAB@NA^GtAm@bEAl@KNG@I?IICSRa@BO^iCPaADcBGe@DMHGB?XJr@DTDv@@^HVP@?BCPo@XcBFqCFeAAw@FuCEk@HODAL@HHBFANI\?bAnABj@FJCHyF@i@C]HgCD_DBCJ@LDDLQhEApAB~AOlE@PfCN|ADz@HDIBY@aBQISC]OkASMEGMAQFKNEJDNTnBd@ZAJHBDADALIRAd@E^Ar@dERHBFTCPIFKBMIKKOAy@C{@GO?gAK{BKMCuACe@IC@AHAxAE`ADLNB^AzBJj@FlDPXBj@B|AJp@NvAn@pAd@JAJGPDFJ@REHGFSAoAc@qBy@c@Oa@G_@Ac@EeAC}@KGBEpA?z@H\LJNFPBvBLf@H`@NVFl@Xv@JFF?NETKDG@m@]q@W_@QE?SIC?MhBYxARP\TZZd@ZLLHNERILKBIGMQQe@y@o@UWG@ORc@d@}@v@wA~AC@E?KU@IzDwD\g@H[Fm@Jk@FkAGCu@?qAIWOSQISG]DoBB]GI_DKyAMg@?UGGK?Q?m@FcA@_AIC}@AiAGQLAHGpEMtBQbASn@C^Y~@e@~B,162,4.162,748,2771,Morning Run,,Run,2023-07-03 10:13:16,34,Run,312
4,,69.3,149.2,1.988,34,292.2,6,642.0,Garmin Forerunner 265,6344.2,3207,Brooks Ghost 15 Brooks Ghost,932.3,17,_kumFdzrcODC^qBZcA?M[QSE{@CmAKE@?h@GpAu@xE?h@KLG?KCIIAEBON]r@uEHmBGQ?WDGFAZJp@DDCBIBc@BiCHgA@}@?GJMFQFe@BiDDe@Lm@FWHOHa@FK^uAPqAASDUDEZkCBCJAP?nCPFBV?lBFdAHlCJzALhAD|BVdABpBT~@FXCx@DZCtBm@wAd@g@H_@?yBGaAGWEM@KTEj@Bv@Cl@Id@GFI?OGIOAKIOIa@@_CGQqG_@sBI_@Em@A}@Ku@ATC^?xALdBHDFEh@?hABDJBd@DLGHWF_@Du@@EDAPAnCNrAPvAHX?|AFd@FnBD^InBo@j@EABQ?_@DiBn@UDmA@i@E_AAeAKM@QRCn@@h@EfAGVEDM@MEOMSm@?k@Ba@BcACMEEiDUq@Cs@EoBIu@IoA?IEg@CKCK@CB@j@CXAlAEd@BJEz@BnBMvBAlBERWXCJAdAEjA@^JL`@HVAx@H`@?`AJr@@f@BDJAbAEp@?VF\NXJHVNXBbBBJBFF?^OrAQx@M`@KPm@p@YTKNSL[^aAx@DPDD@@FCb@i@\[^e@xAoALQTe@H_@VaC@]CEaDMSGUUMSKk@?OLmBCMGCS@c@E{AEa@Ey@CcAKIOBmBFeAAKECW?iBIC??HCjBCDOHEDEjDMt@YpAGd@e@fBYxAM`@C@ECAMEC,185,4.226,808,3191,Lunch Run,,Run,2023-07-04 11:30:21,66,Run,343
5,4,69.8,144.0,2.008,34,300.0,5,451.0,Garmin Forerunner 265,4655.4,2383,Brooks Ghost 15 Brooks Ghost,695.5,3,gjumFd{rcOTL`@LPDl@FHAFEH@HJBPAFIJGBi@Sc@C}@[GGAMR}@AF@Ar@uDXF\NXNNRLFJEFS?IEK[AICiAc@@S`@kBFi@N_G?q@DOXDX?nAFDB@JC|@KpBRPJDb@?hAHb@@pALv@@J@@BAp@Rr@?ZDVHVRPvCNh@LvAj@t@JLR@JAJIFM@OESO[OSE{@a@IAGD?TK`BU`ALPn@b@bA~@FRARMFK@MGYq@_@[e@i@OIGB]d@y@t@?JDPh@v@ZXd@NNLBRCLCBKFKAa@]s@w@Q[Qe@GEGBgAlAIDEAGEGQtAiAhBgBZa@Nc@F_@V}BAQMBe@@a@G]?UCWK[YIQESAk@Fg@@eADMHIRKrCJh@FN@p@LzAn@|Aj@H?PEJ@LN?REFIDK@aC_As@Ue@Ua@G[i@gAA}AMu@AWE}@CIC]@]G]Ae@\y@EKCG@CV@JCh@@RL\f@t@?FEJC@E@o@}@Oc@Au@@k@Dc@?c@BaABe@?kAGI]@}AICGAOBQA_@Ha@CSCCKAKJANBR?x@Er@ApAEp@GtDKz@I\KXARB`@BFnAd@`@DFF@PIVKBGAWYeAg@E?c@rBc@fBx@Zz@HTEF@HFDH?HCJIHO@SOm@Eg@OYOM@MCIKAKJ[CC?KGG,184,3.798,622,2318,Lunch Run,3,Run,2023-07-05 12:13:09,41,Run,337
6,1,74.0,149.3,2.127,33,330.9,5,445.0,Garmin Forerunner 265,4318.7,2037,Brooks Ghost 15 Brooks Ghost,671.8,3,ikumF`{rcOCD?NLPZ@v@XTBdAWECI?MDO@e@Ia@MKGQEEE?EJs@Tw@`@iBD?jAh@RRD@FALU?IGMKAM?MCi@Y[KCGl@uCHaEDm@@oA?EDEjBJX?BDCrACd@?l@IzABp@F`@v@jA^fAHl@@l@Gj@FPR?FIDMIeAOeASu@O[m@{@K]AS@u@@QDK`AHtBJr@Hx@@BB@VInBHf@PZZTRD~@F|@@D@W~CUp@SZcAbASNYZoAfACFLPLChAqAFCHDVh@hArANRLFHCFG?E?[_A]m@y@Wc@AIj@k@`@[R[JAnAhA`@v@NBJM?YEKy@k@c@c@]UCG?OBCJk@B]F]HgADCPFvAf@l@`@N?HKBIGSIGa@CMCk@QeAc@e@Ii@?{AGOISUG[FkBAYBIX?dCRl@@VBf@NxBv@|An@BALKBOCOAEQEYHSEgCcA_@Mm@M}Oy@EEAID{@BcBAIECOBo@A{AKOFGLM`HKx@QbAi@nBq@dDK@AOKE,172,3.228,508,2030,Lunch Run,,Run,2023-07-06 11:46:00,47,Run,344
7,,74.8,147.9,2.116,32,321.9,6,515.0,Garmin Forerunner 265,5030.4,2403,Brooks Ghost 15 Brooks Ghost,765.2,5,akumFvzrcOA?IVBPFFF?JAdAZx@HRJB?HIBQEIEEK@SDe@IYAs@]G?He@FHDYDGFa@NQBSFGAEHSPOCKHCN@\HLDNNNFF?DCFMAYII_@BSE[Qa@OCERs@V_BDmADi@FcE?MBGXAv@Fr@BB@@HIrDDPf@JtET|@@DDE^CrBDXTd@NLd@Jl@HbAAJF?JQtA?d@Yr@]l@_AbA_@ZWX_Ax@AFBHD@PCPUTW\]HCFFTh@TZVTf@r@HFLADGDSESc@KMKk@q@[g@?G@S|@y@Za@HBjA`ATn@HJNBHCFI@IASKMe@Ya@c@QK_@]Jc@ZyC@CFAjBt@ZVJBF@FEFI@KESEEk@GaCw@i@GkBE]MQUEOC_@FkB@IBErAHtAF`AJfA\xAn@h@RD@JCF@PPHCDGDM?KGKMCQFK?cA_@oBw@y@QeACcAGqBKaAIwCMg@G[?EIAQDu@BwA@ItADfAHV?j@FbBDrAJT?t@FPPJBLCJO?EESKEsACgBKEI@c@AMDaAF]EUKCSBe@IeA]U[KAOHENBLHHTHpB\PF@PI|BEBmAKcCI]Gi@AM@[VcACaAICFAxAG|BEtAG|@g@jBDFh@RZPJ@LAJDDH?VMNKAQQi@Ym@YKCG?Ol@QdA]xAGDEAAQIG?BA?@AE@BCED,163,3.518,500,2377,Morning Run,,Run,2023-07-07 10:24:36,52,Run,334
8,,73.1,144.2,2.04,32,318.1,6,606.0,Garmin Forerunner 265,6000.7,2945,Brooks Ghost 15 Brooks Ghost,936.0,5,ikumFdzrcODCHALs@Vw@Fe@L[?Kg@WK?e@I{@Gi@AI|BSpAI|@IVKp@?^GNGBI?GGCI?ITONQDc@HW\{BFg@DwAA}@D?VFvBNr@TDADKTeANoA?QH{A?iAJ_FCi@DKHGNBFN?NKXA|@@JD@JAV?fBJR?XBvCJJBfBHBEBa@Ag@Bk@AGGGi@OgBa@IQ?SBGFEH?JFRV|@R`@PL@RCLJDLM^Al@CTAl@DFHBp@Ar@HjABJBFJ?TIPIDICQWOEoBE}CSw@AaAK}@EQECNAtAG`A@JbAJhA@zE\tABhAHbAN`E|APGHANL@NCLKFO?QE_@UoA]MIQGm@Y]Ig@Ic@?]Eq@AcAIG@K`CF`@LNJHVDh@DV?NB\@v@JRHHFF?d@NXNn@JFFDH@RABMHM?k@a@OEsAi@GACBCl@OzAQz@zBdBJN@RKPKBKCECS_@IWiAcAGCG@KVoAlADNdArAn@THHBVCHGFGBM?MM{@aAWc@Qc@ECG@oApAI@CECO?EJM\]NKbAeAdAcAJOL[Lm@PcCKEuBE]ISQSa@G[DwADu@EGEAm@?kBKoACq@MGFALC|@DXfAnBRr@Jl@B~@FN@RGPGBI?KEEWDg@ASOkA[_Aq@iAMk@NoHCEm@@g@Ak@KEFCrCM`EWjAQl@AJHJ|@^JBLCLBHHBRKROFKGWW_Aa@IAu@pDMb@?Bd@RZFt@JPGJBJJ@RONK@]Oo@GgAa@UW?GFQCA?G,165,2.826,497,2942,Morning Run,,Run,2023-07-10 10:43:55,57,Run,333
9,,73.6,147.8,2.059,33,323.1,5,457.0,Garmin Forerunner 265,4499.9,2197,Brooks Ghost 15 Brooks Ghost,705.9,25,akumFtzrcO?DGP?J?FFD`@@XPrAPRLHAJGBOOQEA[Fy@IWGYOGG?EReAtA{FPiAD{@JsE?sABGJCr@B~@HDABGJgEAmDNiFn@EjAFt@Bt@F@@qACgBMMBCFA~AKpDBtBMbEHaFCm@BP?~@IbE@TCC?IBa@Au@D[B}@AqBB|@IdDAnACQJkC@qC@~@IxC?pAC@AKB]CK?UHsABcACI?cABzAItECGFcBBcCAgADdAKhFTD^?rETwBCuCQb@CbAJdBFj@F\??BeBEoDUABCbAC^@JAT?HEr@DDLBd@?PBbDND@BDBVCBUAaEQ[GGBChABVLX|@xAG\GBc@{@g@u@Mi@?a@HsA@_BBo@@i@AEq@A{AKE@QTBXMdFE~@Kn@Or@ITG^M\w@xDEDIC@MKGBA,181,3.836,785,2185,Morning Run,,Run,2023-07-11 10:57:55,48,Run,363
10,1,74.2,147.7,1.974,35,313.4,6,793.0,Garmin Forerunner 265,7797.6,3970,Brooks Ghost 15 Brooks Ghost,1238.3,6,ekumFvzrcOGT@LFJTAbA\r@HPLH?JIBSKOG?SD_AKs@WEEZiBLa@PaAFMXDr@^NHHLN@JM@YIGGCOBMAo@[YICEBSNg@Nw@Hi@L}E?aBHIdCJD@@LCfAKhCA`A@\L`@d@r@Xl@Rt@HdA?LGd@@HDJHBJEDGBQSwB[mAOYa@m@Sk@A_AD_@fAH~@@j@FtBHDFElCFb@T^HFPHJ@xBFH@BBEv@SfBK\OZSX}@~@]Vw@x@ID[ZBLFFB?nAwABAF?DDb@x@jArALHLCBGBKCSCCi@IIEaAsAIQAI~AeBDCpAbAd@~@DBH?HKBSEOu@g@gA}@EG?KJYFc@JaADw@@CD?^HpAf@j@^D?HGDW?GMKk@Ce@O]Q}@Y]G{BK[KIKEME]DcA?y@BGH?`BFtBNj@Nl@VTAPBXNBLBD|Af@D@HGFOAQQM]JYEqAi@]KUMyA_@{BKqDU]?iCQu@AEACKB_AA_@D_A@IBA~BJx@Ht@Bb@F`A@hCNJDLND@HADEFQISGCkAAsBOCK?MDs@?k@Lc@COIGYByAYUKMY[BEBCLFNvCt@JHEzBCHE@O@u@I{@ES@m@G{@Eg@EO?EAC_@JwD?}CFgBBgCFOXBPAtBNl@@fBL^?hBLp@@~APb@FfBFpDVpACj@O`A_@b@KVCF@a@BODc@PwA`@g@De@A{COc@?SEgACUG_AIqCQCBEzAERIDa@Aa@@QEKa@AeAFMCMcBGm@@eCSCNOpFA|@BhAElBEf@AhAABE@cCICEDaABQDM?K?GKKK@GFERDT?p@GnAEhDI`CC^Ih@[jA?DDBbBp@NAH@HH?ZILO@[[cAa@I?e@vB_@vAHFd@R\Jn@DLEH@FDDJ?JAFEFMD[Ou@Is@WYAKCCECK@QFMCG@IIEC@?G?B,163,3.032,452,3951,Lunch Run,,Run,2023-07-12 11:06:32,84,Run,322
11,2,71.9,148.4,1.858,34,284.6,7,994.0,Garmin Forerunner 265,10129.2,5459,Brooks Ghost 15 Brooks Ghost,1551.6,7,gkumFtzrcO@DGN?H@FJJF@PARJp@Pl@JNHJ@HGDOAIMM_@Bq@I}@YCE`AuEBCN?`Af@PRHDD?HGFMEUEIY@IAcAc@GGZcBNk@HcCD{D@OBChADz@?DDCdCGx@JLPFLAd@DLALD~@FrCJDBGrCNl@LNZP\FlBDFBWrCOp@]f@m@n@iAhAQJST]\AFLND?X_@z@y@PPN^\`@f@f@Z^DBJ?FWAQy@o@CBGAUUk@s@CK@G\WbAkAFCj@\d@b@d@bAF@H?JUGWcAu@_Ay@?MN_@VqCFKD?dAb@LF^LVRJDHAHQAKIM_@Ic@Ee@UIAy@][EmACo@EOEMIMWGa@F}BLCd@Dd@@v@Hv@Bj@Hl@Pz@^fC|@HABEDQ?KEGKEa@Hs@YO@i@QOQqAg@{AMgACs@Kg@?mAE}@Is@AUEsAGKCEKASFu@@qAFK|ERlDVp@@d@HTPD@DAHEBWAKGGgEQCE?MBYBqAJU@KAEQMUDkBc@GGKSGEI?EBEDCJDRFHN@vAZr@T@XGz@?d@EN_@A]E_AEQC_ACgAGKCCq@Fw@DuBAuBBoBDc@AKWCGGHqAAg@DUAImAEBAyBIYC_@?_@Gm@AyBOQ?o@A}AM_@AYEICs@@e@Gu@CsAAc@CECEIW}B?k@I}@GwBGo@B{@GyB?aCRcBRkAPi@Xm@BK`@u@Ri@`@y@V{@Hm@Je@@uAEu@McAg@aBOa@W}@w@qBk@yCIm@Ck@M_AOuBGmA@eAPiCX{A|@mDb@qAHi@ZkAh@aCFMNo@fBqFJi@LwA@g@CeAKaAI_@@Q?LTdA?RDv@?ZEpAStAIXw@vB_@vA_@hA_@xAY|ASn@S`AQf@gA~DKb@MbAGjACfAFbBt@~Gl@vCn@vBp@dBT~@Lj@Fb@@v@CzAWpA]hAa@p@eAzBK\YnAQfBCr@BjC?v@PnFJ`A@f@P`CBHlBJj@CB@C\@FB?zAHRDv@?`BLrDPj@FL?dAD|AHd@FlABJJI`ACdBC`@CbB@pBGbAC|BCF{@GgAAGGBc@Bc@H[?IEKCEM@OH?TDV?b@KdCGvEE~@[~AKZEZSp@q@~CIHEA,168,7.952,462,5451,Morning Run,,Run,2023-07-13 10:42:53,116,Run,293
12,,71.1,125.7,1.797,32,274.1,5,287.0,Garmin Forerunner 265,3235.4,1811,Brooks Ghost 15 Brooks Ghost,493.4,3,sjumFpzrcOW\?PHHD@NCr@\hAHLLLAFM?SKII?WDUEU?_A_@EKZkALy@?INu@JSJ@TNh@RJFDJJFL?BEBGAWCGICU@YMm@YEMFg@VgAFs@@mAFq@FyAAqADO|BHLB@DEdCK~B?h@BVFPr@hAFAJUMMg@w@GUAw@Ba@BGbCLnALtADDJ@FCLGjBHb@P^VRLBlCLCn@Y~BSh@Y\Kn@WZu@n@SVw@x@?EPSp@s@NSJE^a@`A_ALQPa@H[VuCBOrAd@f@T\VP?FIBKIUu@IQE}Aq@g@GkBIWCIGWWI]FiCAQIMECu@Cg@EcAEi@?w@Kc@?ECCA?MDo@BmBBc@ECu@AeBICC@w@Jo@GQKCIBGL?LDT?PGhBEbABPAn@OxDMt@W~@Gj@Sh@SlAYpAGNC@EEAC?KEA,143,2.58,389,1800,Morning Run,,Run,2023-07-14 10:48:42,7,Run,279
